id;total
145896;38005
145924;30561
145930;30191
1528;25535
1531;23949
1558;14284
1559;13538
15961;11416
1619;10091
1635;8971
1851;6820
1941;5685
2231;5255
233860;4936
233861;4569
234593;4454
2467;4451
2468;4424
2589;4408
263060;4382
263061;4013
2762;3089
2763;2792
30576;2583
3202;2428
3203;2374
33430;2293
3396;2241
34134;2159
38742;2057
38743;1924
38744;1875
38745;1855
38746;1657
3913;1615
3914;1589
45433;1577
45460;1553
45470;1464
45487;1330
45489;1279
45899;1204
45905;1196
45912;1121
45930;1057
45941;1026
47085;1014
52962;980
659;979
7543;967
77334;958
77336;953
77337;933
11;914
145218;902
1529;881
153742;821
155883;788
155884;751
15773;737
1584;703
1617;686
1621;684
1624;652
16937;648
1796;589
1961;587
1981;555
217551;554
233845;535
234594;533
2588;517
2836;512
2940;502
2941;487
2943;444
3391;389
3392;384
35098;374
45027;368
45432;366
45906;364
660;363
7221;356
77423;343
12033;342
12034;332
12035;330
12036;329
16931;306
177183;301
213932;276
213933;276
233858;276
233859;273
235506;273
2470;271
2471;263
2472;263
2473;258
2475;257
2476;253
2477;245
2478;243
250079;242
273849;241
31707;236
56831;236
649;235
650;235
651;233
652;233
653;227
654;227
655;226
77428;219
77429;212
11192;209
11193;207
12046;206
14674;203
16901;203
16936;197
2768;194
31438;192
34207;190
3620;190
50375;182
50376;181
50378;179
50379;179
55006;178
55090;175
70657;174
8294;173
8296;172
1527;160
170141;157
2643;154
2839;153
2840;150
2942;148
2944;143
2945;142
3213;142
3395;140
38661;140
38683;137
39517;134
7202;132
77333;131
88581;131
94998;130
96548;129
1799;126
1800;125
1962;122
1964;121
1966;121
1982;121
1983;120
1986;119
2222;118
24562;113
264051;111
308063;111
308064;110
32582;110
3390;108
3393;107
3879;106
11179;105
187728;102
2474;102
253357;100
2597;100
2837;99
295762;95
30575;92
45028;91
57155;91
57202;91
656;90
657;89
7545;88
77421;88
166290;87
1837;87
2487;84
2652;84
2766;84
277935;84
3397;82
45004;81
6551;81
6552;80
6688;79
7199;78
7200;75
7201;75
11189;75
132922;74
145939;73
1557;73
1856;71
1942;70
233601;69
2767;69
30577;64
38655;63
7544;63
77335;62
1479;61
1798;59
1804;59
1886;58
1980;57
213110;57
213111;56
308055;53
58271;53
92765;52
153497;52
1832;49
1835;49
1849;48
207394;48
209559;45
253625;44
298354;44
3619;44
77425;43
1526;42
1801;42
1967;40
213112;39
213113;38
217554;37
253240;36
2843;36
6040;35
77327;35
11219;34
11234;34
14289;33
15764;32
170121;32
45819;32
46327;32
725;32
8389;31
14290;31
14291;31
1795;31
308058;31
313233;30
3881;30
45034;30
52963;30
8291;29
15772;29
1905;29
1911;29
2386;29
3107;29
3142;28
58986;28
671;28
7;27
158010;27
24360;27
2937;27
2938;27
2939;26
84116;26
84117;24
84131;23
84135;23
11180;23
11191;22
1632;22
1634;22
1918;22
1919;21
308061;21
308062;21
102746;20
102772;20
1480;19
1885;19
1889;17
1890;17
1908;16
1909;15
1920;14
1921;14
4;14
6;14
1493;13
1494;13
1591;12
1592;12
1616;12
1779;11
17227;11
173568;11
177182;10
233856;10
50100;10
91299;10
1952;10
2062;10
2486;10
2838;9
70094;9
8019;9
1416;8
1419;8
5420;8
66966;7
9575;7
1482;7
1492;6
1622;6
1626;6
313191;5
11171;5
13;5
1615;4
2005;4
45423;4
159590;4
2909;4
33418;4
33419;3
46219;3
1762;3
1764;3
1765;3
67373;3
69415;2
35097;2
37878;2
58461;2
58522;2
15968;2
1623;2
2488;2
46239;2
1477;2
1887;1
3880;1
8292;1
1633;1
260637;1
308059;1
308060;1
1809;1
45413;1
5626;1
99516;1
5803;1
58511;1
58523;1
58987;1
1456;1
1848;1
308057;1
72211;1
14675;1
177184;1
2469;1
2596;1
227305;0
227306;0
233857;0
658;0
12959;0
4407;0
69508;0
1751;0
1752;0
6041;0
1574;0
1575;0
1579;0
4807;0
4820;0
7546;0
1478;0
1797;0
1888;0
280706;0
280717;0
77422;0
44260;0
663;0
668;0
22944;0
2858;0
91012;0
253980;0
253981;0
2654;0
2927;0
3105;0
9576;0
4574;0
69490;0
103354;0
263014;0
1815;0
2653;0
3060;0
9577;0
55934;0
77427;0
1812;0
308056;0
45182;0
45790;0
2020;0
263882;0
2019;0
3089;0
1763;0
4806;0
50377;0
69140;0
253983;0
2064;0
77424;0
2849;0
253982;0
1415;0
141050;0
155758;0
72219;0
3915;0
12;0
14853;0
170144;0
69972;0
2017;0
1718;0
77426;0
58818;0
144656;0
58617;0
187038;0
253985;0
253986;0
